date,o,h,l,c,v
2002-12-09,38.5483,38.8390,38.5349,38.7496,400300
2002-12-10,38.7316,38.8748,38.6825,38.8524,151600
2002-12-11,38.9732,39.1968,38.8882,39.1118,163800
2002-12-12,38.9329,39.1744,38.9329,39.0760,135800
2002-12-13,38.9687,38.9777,38.6959,38.6959,425800
2002-12-16,38.8614,38.8614,38.3873,38.4052,115700
2002-12-17,38.5930,38.6154,38.3158,38.4052,290600
2002-12-18,38.6735,38.7675,38.5707,38.7048,191000
2002-12-19,38.8166,39.1252,38.7495,39.0492,134400
2002-12-20,39.0089,39.1565,38.9732,39.0760,41900
2002-12-23,39.0671,39.0850,38.5707,39.0850,74200
2002-12-24,39.3533,39.3891,39.2817,39.3041,46600
2002-12-26,39.3086,39.3801,39.2326,39.3801,13500
2002-12-27,39.5992,39.8139,39.4785,39.8139,140200
2002-12-30,39.7558,39.9078,39.6350,39.9078,274900
2002-12-31,39.9779,40.1487,39.6948,39.8071,109400
2003-01-02,39.4161,39.5060,38.7465,38.7779,192100
2003-01-03,38.7195,38.8947,38.5756,38.8678,311200
2003-01-06,38.7284,38.7824,38.5666,38.7644,35600
2003-01-07,38.7374,38.9891,38.7284,38.9037,69800
2003-01-08,39.0476,39.1644,39.0026,39.0970,160100
2003-01-09,38.7285,38.7285,38.2116,38.3464,237500
2003-01-10,38.6161,38.6161,38.2565,38.4453,145200
2003-01-13,38.4453,38.5936,38.3824,38.5082,53300
2003-01-14,38.6520,38.7779,38.6341,38.6431,98900
2003-01-15,38.7779,38.9667,38.7419,38.8318,129600
2003-01-16,38.8228,38.9217,38.4813,38.8858,57900
2003-01-17,39.1464,39.2094,39.0700,39.0790,97700
2003-01-21,39.0476,39.3038,39.0116,39.3038,107500
2003-01-22,39.4071,39.5060,39.3352,39.4970,107100
2003-01-23,39.2453,39.4161,39.2363,39.3038,110700
2003-01-24,39.4341,39.7487,39.4341,39.5374,285300
2003-01-27,39.5060,39.5689,39.3262,39.3936,150500
2003-01-28,39.3936,39.4520,39.1464,39.3936,454700
2003-01-29,39.4746,39.4970,39.0925,39.1779,221400
2003-01-30,39.1914,39.5060,39.1464,39.4700,108600
2003-01-31,39.5060,39.6453,39.3442,39.5779,182300
2003-02-03,39.5409,39.6492,39.3786,39.6356,55200
2003-02-04,39.8567,39.8702,39.7394,39.8116,56900
2003-02-05,39.7935,40.0055,39.4327,39.4687,223300
2003-02-06,39.6176,39.8070,39.5950,39.7890,120900
2003-02-07,39.5860,39.9243,39.5229,39.8792,247200
2003-02-10,39.7439,39.8702,39.5500,39.5996,76600
2003-02-11,39.5093,39.6492,39.4327,39.5905,259100
2003-02-12,39.5996,39.7484,39.5410,39.7304,121300
2003-02-13,39.8115,40.2220,39.7664,39.9468,440200
2003-02-14,39.8251,39.8566,39.5139,39.6041,829700
2003-02-18,39.4913,39.6807,39.3921,39.6537,213200
2003-02-19,39.8657,40.0055,39.8026,39.9243,62100
2003-02-20,39.8431,40.0957,39.8431,40.0596,486700
2003-02-21,39.9423,40.0145,39.7845,39.8251,250400
2003-02-24,40.0867,40.0957,39.9694,40.0145,168200
2003-02-25,40.3212,40.4339,40.1408,40.1994,358500
2003-02-26,40.3121,40.4790,40.2084,40.4790,334000
2003-02-27,40.3483,40.5873,40.2806,40.5467,695700
2003-02-28,40.4474,40.8353,40.4023,40.8037,213100
2003-03-03,40.7450,40.9487,40.7042,40.8536,204100
2003-03-04,40.8038,40.9486,40.7540,40.8807,83100
2003-03-05,41.0256,41.0301,40.7630,41.0165,126000
2003-03-06,40.9939,41.0528,40.7721,40.8581,166000
2003-03-07,41.0709,41.1026,40.7675,40.9984,263800
2003-03-10,41.1116,41.2112,41.0528,41.2112,147200
2003-03-11,41.1931,41.2701,41.0754,41.1388,82800
2003-03-12,41.1614,41.3606,41.1433,41.2882,454800
2003-03-13,40.8128,40.9215,40.5276,40.5276,830200
