date,o,h,l,c,v
1986-10-03,0.8644,0.8644,0.8644,0.8644,0
1986-10-06,0.8644,0.8644,0.8644,0.8644,0
1986-10-07,0.8644,0.8644,0.8644,0.8644,0
1986-10-08,0.8627,0.8627,0.8627,0.8627,0
1986-10-09,0.8584,0.8584,0.8584,0.8584,0
1986-10-10,0.8567,0.8567,0.8567,0.8567,0
1986-10-13,0.8567,0.8567,0.8567,0.8567,0
1986-10-14,0.8508,0.8508,0.8508,0.8508,0
1986-10-15,0.8499,0.8499,0.8499,0.8499,0
1986-10-16,0.8508,0.8508,0.8508,0.8508,0
1986-10-17,0.8482,0.8482,0.8482,0.8482,0
1986-10-20,0.8414,0.8414,0.8414,0.8414,0
1986-10-21,0.8474,0.8474,0.8474,0.8474,0
1986-10-22,0.8499,0.8499,0.8499,0.8499,0
1986-10-23,0.8542,0.8542,0.8542,0.8542,0
1986-10-24,0.8533,0.8533,0.8533,0.8533,0
1986-10-27,0.8567,0.8567,0.8567,0.8567,0
1986-10-28,0.8567,0.8567,0.8567,0.8567,0
1986-10-29,0.8601,0.8601,0.8601,0.8601,0
1986-10-30,0.8661,0.8661,0.8661,0.8661,0
1986-10-31,0.8689,0.8689,0.8689,0.8689,0
1986-11-03,0.8749,0.8749,0.8749,0.8749,0
1986-11-04,0.8732,0.8732,0.8732,0.8732,0
1986-11-05,0.8723,0.8723,0.8723,0.8723,0
1986-11-06,0.8698,0.8698,0.8698,0.8698,0
1986-11-07,0.8646,0.8646,0.8646,0.8646,0
1986-11-10,0.8612,0.8612,0.8612,0.8612,0
1986-11-11,0.8612,0.8612,0.8612,0.8612,0
1986-11-12,0.8638,0.8638,0.8638,0.8638,0
1986-11-13,0.8672,0.8672,0.8672,0.8672,0
1986-11-14,0.8698,0.8698,0.8698,0.8698,0
1986-11-17,0.8741,0.8741,0.8741,0.8741,0
1986-11-18,0.8758,0.8758,0.8758,0.8758,0
1986-11-19,0.8809,0.8809,0.8809,0.8809,0
1986-11-20,0.8800,0.8800,0.8800,0.8800,0
1986-11-21,0.8809,0.8809,0.8809,0.8809,0
1986-11-24,0.8826,0.8826,0.8826,0.8826,0
1986-11-25,0.8809,0.8809,0.8809,0.8809,0
1986-11-26,0.8800,0.8800,0.8800,0.8800,0
1986-11-28,0.8855,0.8855,0.8855,0.8855,0
1986-12-01,0.8837,0.8837,0.8837,0.8837,0
1986-12-02,0.8872,0.8872,0.8872,0.8872,0
1986-12-03,0.8932,0.8932,0.8932,0.8932,0
1986-12-04,0.8967,0.8967,0.8967,0.8967,0
1986-12-05,0.8932,0.8932,0.8932,0.8932,0
1986-12-08,0.8924,0.8924,0.8924,0.8924,0
1986-12-09,0.8915,0.8915,0.8915,0.8915,0
1986-12-10,0.8932,0.8932,0.8932,0.8932,0
1986-12-11,0.8949,0.8949,0.8949,0.8949,0
1986-12-12,0.8898,0.8898,0.8898,0.8898,0
1986-12-15,0.8889,0.8889,0.8889,0.8889,0
1986-12-16,0.8881,0.8881,0.8881,0.8881,0
1986-12-17,0.8898,0.8898,0.8898,0.8898,0
1986-12-18,0.8898,0.8898,0.8898,0.8898,0
1986-12-19,0.8906,0.8906,0.8906,0.8906,0
1986-12-22,0.8915,0.8915,0.8915,0.8915,0
1986-12-23,0.8924,0.8924,0.8924,0.8924,0
1986-12-24,0.8941,0.8941,0.8941,0.8941,0
1986-12-26,0.8932,0.8932,0.8932,0.8932,0
1986-12-29,0.8924,0.8924,0.8924,0.8924,0
1986-12-30,0.8863,0.8863,0.8863,0.8863,0
1986-12-31,0.8888,0.8888,0.8888,0.8888,0
1987-01-02,0.8941,0.8941,0.8941,0.8941,0
1987-01-05,0.8958,0.8958,0.8958,0.8958,0
1987-01-06,0.8975,0.8975,0.8975,0.8975,0
1987-01-07,0.9001,0.9001,0.9001,0.9001,0
1987-01-08,0.9027,0.9027,0.9027,0.9027,0
1987-01-09,0.9019,0.9019,0.9019,0.9019,0
1987-01-12,0.9053,0.9053,0.9053,0.9053,0
1987-01-13,0.9027,0.9027,0.9027,0.9027,0
1987-01-14,0.9010,0.9010,0.9010,0.9010,0
1987-01-15,0.8993,0.8993,0.8993,0.8993,0
1987-01-16,0.9010,0.9010,0.9010,0.9010,0
1987-01-19,0.8993,0.8993,0.8993,0.8993,0
1987-01-20,0.9053,0.9053,0.9053,0.9053,0
1987-01-21,0.9062,0.9062,0.9062,0.9062,0
1987-01-22,0.9045,0.9045,0.9045,0.9045,0
1987-01-23,0.9036,0.9036,0.9036,0.9036,0
1987-01-26,0.8993,0.8993,0.8993,0.8993,0
1987-01-27,0.8949,0.8949,0.8949,0.8949,0
1987-01-28,0.8949,0.8949,0.8949,0.8949,0
1987-01-29,0.8923,0.8923,0.8923,0.8923,0
1987-01-30,0.8975,0.8975,0.8975,0.8975,0
1987-02-02,0.8948,0.8948,0.8948,0.8948,0
1987-02-03,0.8948,0.8948,0.8948,0.8948,0
1987-02-04,0.8931,0.8931,0.8931,0.8931,0
1987-02-05,0.8957,0.8957,0.8957,0.8957,0
1987-02-06,0.8966,0.8966,0.8966,0.8966,0
1987-02-09,0.9001,0.9001,0.9001,0.9001,0
1987-02-10,0.8905,0.8905,0.8905,0.8905,0
1987-02-11,0.8879,0.8879,0.8879,0.8879,0
1987-02-12,0.8879,0.8879,0.8879,0.8879,0
1987-02-13,0.8922,0.8922,0.8922,0.8922,0
1987-02-17,0.8896,0.8896,0.8896,0.8896,0
1987-02-18,0.8914,0.8914,0.8914,0.8914,0
1987-02-19,0.8948,0.8948,0.8948,0.8948,0
1987-02-20,0.8966,0.8966,0.8966,0.8966,0
1987-02-23,0.8966,0.8966,0.8966,0.8966,0
1987-02-24,0.8992,0.8992,0.8992,0.8992,0
1987-02-25,0.9001,0.9001,0.9001,0.9001,0
1987-02-26,0.9010,0.9010,0.9010,0.9010,0
1987-02-27,0.9072,0.9072,0.9072,0.9072,0
1987-03-02,0.9107,0.9107,0.9107,0.9107,0
1987-03-03,0.9116,0.9116,0.9116,0.9116,0
1987-03-04,0.9098,0.9098,0.9098,0.9098,0
1987-03-05,0.9142,0.9142,0.9142,0.9142,0
1987-03-06,0.9098,0.9098,0.9098,0.9098,0
1987-03-09,0.9090,0.9090,0.9090,0.9090,0
1987-03-10,0.9090,0.9090,0.9090,0.9090,0
1987-03-11,0.9081,0.9081,0.9081,0.9081,0
1987-03-12,0.9116,0.9116,0.9116,0.9116,0
1987-03-13,0.9116,0.9116,0.9116,0.9116,0
1987-03-16,0.9098,0.9098,0.9098,0.9098,0
1987-03-17,0.9107,0.9107,0.9107,0.9107,0
1987-03-18,0.9125,0.9125,0.9125,0.9125,0
