date,o,h,l,c,v
2007-08-21,30.7915,30.9776,30.4223,30.4781,33700
2007-08-22,30.5898,30.7759,30.4347,30.7139,52700
2007-08-23,30.7667,30.9621,30.7139,30.9001,59400
2007-08-24,30.9311,30.9776,30.7636,30.9776,11600
2007-08-27,31.0242,31.1793,30.9931,31.1793,11800
2007-08-28,31.1793,31.3034,31.0242,31.0707,55800
2007-08-29,31.0242,31.3034,30.9218,31.1948,18300
2007-08-30,31.2537,31.3468,31.0924,31.2599,42900
2007-08-31,31.4833,31.5454,31.3375,31.5423,11300
2007-09-04,31.8304,31.8304,31.5276,31.7617,13500
2007-09-05,31.7305,31.8023,31.5994,31.7742,14400
2007-09-06,31.6805,31.7586,31.6805,31.7554,16400
2007-09-07,31.8085,31.8085,31.3559,31.3934,50700
2007-09-10,31.6837,31.6837,31.4058,31.5276,10000
2007-09-11,31.6774,31.8397,31.5276,31.7867,24100
2007-09-12,31.8397,31.9958,31.6462,31.9303,32000
2007-09-13,31.9178,31.9178,31.5962,31.8179,10900
2007-09-14,31.8241,32.1332,31.5963,32.1176,33900
2007-09-17,32.1519,32.3080,31.9521,32.2643,20100
2007-09-18,32.3860,32.5764,32.1456,32.4952,31400
2007-09-19,32.5421,33.1196,32.5265,33.1165,85900
2007-09-20,33.1008,33.1008,32.1519,32.3048,410400
2007-09-21,32.7731,32.9011,31.8709,32.3860,105100
2007-09-24,32.0520,32.6045,32.0426,32.6045,45500
2007-09-25,32.1519,32.6825,32.1519,32.6825,167500
2007-09-26,32.6825,32.6825,32.5046,32.5639,25300
2007-09-27,32.6201,32.6357,31.5775,32.4641,49200
2007-09-28,32.6108,32.6139,32.3392,32.4641,46700
2007-10-01,32.8143,32.8237,32.4562,32.5881,50300
2007-10-02,32.2049,32.6635,32.2049,32.6509,72100
2007-10-03,32.6667,32.8143,32.4531,32.4782,35300
2007-10-04,32.6038,32.6509,32.4436,32.6164,17600
2007-10-05,32.6572,32.6667,32.5159,32.6352,22900
2007-10-08,32.7357,32.7891,32.6227,32.7452,18600
2007-10-09,32.7672,32.7734,32.6666,32.7703,14600
2007-10-10,32.8174,32.8174,32.7138,32.7420,21200
2007-10-11,32.8205,32.8237,32.6666,32.7891,22300
2007-10-12,32.7986,32.8551,32.7986,32.8237,73700
2007-10-15,33.0436,33.0436,32.8237,32.9807,24600
2007-10-16,32.8237,32.8802,32.6980,32.8551,60600
2007-10-17,32.6761,32.8708,32.4499,32.4499,15200
2007-10-18,32.7389,32.7452,32.4311,32.4342,13200
2007-10-19,32.4311,32.6478,32.0384,32.2897,40200
2007-10-22,32.2897,32.2897,31.9913,31.9913,64600
2007-10-23,32.0981,32.2583,32.0227,32.2583,27000
2007-10-24,32.2269,32.2740,32.1327,32.2583,22200
2007-10-25,32.3494,32.3494,32.2395,32.3054,16600
2007-10-26,32.2583,32.3808,32.2269,32.3808,10800
2007-10-29,32.5065,32.5096,32.3714,32.4782,19900
2007-10-30,32.4468,32.4468,32.2583,32.4154,10500
2007-10-31,32.5441,32.6666,32.3651,32.6195,12000
2007-11-01,32.4741,32.5341,32.2496,32.4077,29400
2007-11-02,32.4045,32.4077,32.2243,32.3287,32300
2007-11-05,33.5143,33.5143,32.0915,32.3128,13800
2007-11-06,32.3128,32.6132,32.3128,32.4804,34900
2007-11-07,32.1927,32.5974,32.1927,32.4393,11900
2007-11-08,32.5184,32.5184,31.7469,32.0283,121000
2007-11-09,32.1137,32.1706,31.7785,32.1706,38400
2007-11-12,32.5721,32.5721,32.2180,32.2970,41400
2007-11-13,32.5500,32.5500,32.1105,32.1706,15300
2007-11-14,32.4867,32.4867,32.1548,32.2496,7800
2007-11-15,32.2464,32.3571,32.1484,32.2401,15500
2007-11-16,32.5658,32.5658,32.1010,32.2496,18400
2007-11-19,32.4709,32.4709,32.1800,32.2496,16700
2007-11-20,32.1705,32.3729,31.7469,31.9334,26500
2007-11-21,31.8386,31.8386,30.6688,31.3327,139600
2007-11-23,31.3643,31.7754,31.2726,31.2726,3100
2007-11-26,30.9849,31.9334,30.9849,31.6173,69500
2007-11-27,31.7754,32.0852,31.4592,31.6647,25700
2007-11-28,31.4845,31.9967,31.4845,31.9650,11700
2007-11-29,32.1706,32.1706,31.6489,32.1231,20200
2007-11-30,32.2496,32.4077,32.0947,32.2528,34900
2007-12-03,32.7720,32.7720,32.1675,32.5779,31400
2007-12-04,32.7720,32.7720,32.4539,32.4539,16300
2007-12-05,32.3520,32.6129,31.9002,32.0721,270600
2007-12-06,32.3298,32.3743,31.8175,32.3584,33200
2007-12-07,32.0084,32.6098,32.0084,32.3425,27100
2007-12-10,32.0498,32.3393,32.0498,32.2948,23500
2007-12-11,32.5079,32.6066,32.0880,32.2630,30300
2007-12-12,32.6129,33.0106,32.2947,32.4379,29400
2007-12-13,32.3743,32.5429,32.2089,32.4220,44500
2007-12-14,32.6129,32.6129,32.1961,32.4697,15600
2007-12-17,32.6129,32.6129,32.1739,32.2948,18900
2007-12-18,32.2661,32.4538,32.2661,32.3266,53200
2007-12-19,32.1707,32.4857,32.1707,32.4857,24000
2007-12-20,32.2629,32.4379,32.2629,32.4157,31300
2007-12-21,32.6066,32.6066,32.2598,32.5175,37600
2007-12-24,32.4602,32.5366,32.1993,32.4029,66800
2007-12-26,32.3043,32.3584,32.1993,32.2598,48400
2007-12-27,32.3734,32.5077,32.3734,32.4725,22900
2007-12-28,32.4437,32.5141,32.0758,32.1558,88500
2007-12-31,32.0630,32.2326,31.9542,32.2262,38800
2008-01-02,31.8550,32.2837,31.7718,31.8358,61800
2008-01-03,31.8678,31.9798,31.7590,31.7750,64800
2008-01-04,31.9990,32.0118,31.6246,31.7398,48600
2008-01-07,31.8326,31.8326,31.4519,31.5511,177200
2008-01-08,31.8326,31.8326,31.3559,31.3687,42100
2008-01-09,31.5127,31.5127,31.0135,31.0263,51600
2008-01-10,31.0903,31.4103,31.0199,31.2567,154800
2008-01-11,31.3047,31.5159,31.1351,31.3239,71700
2008-01-14,31.2407,31.3783,31.1575,31.2151,20600
