date,o,h,l,c,v
2007-08-10,14.4383,14.4383,14.3458,14.4229,6300
2007-08-13,14.4969,14.4969,14.3766,14.3921,3200
2007-08-14,14.3458,14.3643,14.2563,14.2563,3300
2007-08-15,14.1113,14.1452,14.0342,14.0342,23800
2007-08-16,13.7905,13.8799,13.5436,13.8768,14600
2007-08-17,14.1175,14.2532,14.0373,14.2440,12600
2007-08-20,14.1915,14.3088,14.1915,14.3088,3400
2007-08-21,14.2872,14.4322,14.2872,14.4322,19900
2007-08-22,14.5586,14.5586,14.4445,14.4476,8800
2007-08-23,14.6543,14.6543,14.5772,14.6049,3400
2007-08-24,14.6203,14.6296,14.5432,14.6296,1700
2007-08-27,14.6111,14.6173,14.5525,14.5957,11700
2007-08-28,14.5895,14.5895,14.5000,14.5031,2800
2007-08-29,14.5000,14.5494,14.5000,14.5494,6900
2007-08-30,14.5556,14.5833,14.5186,14.5186,11500
2007-08-31,14.6234,14.6420,14.6234,14.6389,3800
2007-09-04,14.6630,14.6630,14.6258,14.6320,16800
2007-09-05,14.6290,14.6290,14.5360,14.5639,6000
2007-09-06,14.5701,14.5732,14.5360,14.5639,5000
2007-09-07,14.5422,14.5422,14.5081,14.5298,2500
2007-09-10,14.5329,14.5329,14.4895,14.5205,11800
2007-09-11,14.5174,14.5174,14.4802,14.4802,2600
2007-09-12,14.4275,14.4926,14.3965,14.4337,87800
2007-09-13,14.3810,14.5298,14.3810,14.5174,10300
2007-09-14,14.5298,14.5918,14.5298,14.5918,5900
2007-09-17,14.5732,14.6165,14.5732,14.6165,18900
2007-09-18,14.7219,14.7591,14.6971,14.7591,3400
2007-09-19,14.7994,14.8056,14.7343,14.7343,23000
2007-09-20,14.7219,14.7219,14.5515,14.6165,94400
2007-09-21,14.5670,14.6568,14.5670,14.6537,9900
2007-09-24,14.6754,14.6940,14.6692,14.6940,3700
2007-09-25,14.5608,14.6289,14.5608,14.5824,54000
2007-09-26,14.7033,14.9048,14.3996,14.7343,16600
2007-09-27,14.6320,14.7994,14.4182,14.6630,30800
2007-09-28,14.6940,14.7033,14.6011,14.6011,3500
2007-10-01,14.7063,14.7716,14.5693,14.6533,6800
2007-10-02,14.6285,14.7841,14.5693,14.6129,4600
2007-10-03,14.7685,14.8059,14.6502,14.7934,5800
2007-10-04,14.8059,14.8214,14.6098,14.7374,6400
2007-10-05,14.8276,15.7178,14.7467,14.7996,45100
2007-10-08,14.7530,14.8681,14.7374,14.7747,1900
2007-10-09,14.7654,14.7841,14.6782,14.7529,2000
2007-10-10,14.7529,14.9677,14.7529,14.8494,4400
2007-10-11,14.9552,14.9552,14.7031,14.9023,10500
2007-10-12,14.9615,14.9770,14.9553,14.9770,7600
2007-10-15,14.9926,14.9957,14.9241,14.9241,3500
2007-10-16,14.8774,14.8805,14.8401,14.8650,4800
2007-10-17,14.9335,14.9335,14.7934,14.7934,12900
2007-10-18,14.7747,14.8121,14.7623,14.8027,8800
2007-10-19,14.8027,14.8027,14.6627,14.6938,21200
2007-10-22,14.6316,14.6627,14.5911,14.6160,23800
2007-10-23,14.7312,14.7374,14.6596,14.6596,4600
2007-10-24,14.6876,14.7063,14.5662,14.6658,34200
2007-10-25,14.6565,14.6565,14.5662,14.6004,8200
2007-10-26,14.6969,14.7965,14.6969,14.7965,12000
2007-10-29,14.8370,14.8370,14.7778,14.8245,6700
2007-10-30,14.7778,14.8027,14.7623,14.7685,7700
2007-10-31,14.8027,14.9023,14.7498,14.8650,47000
2007-11-01,14.8047,14.8047,14.5921,14.5921,9900
2007-11-02,14.6202,14.6202,14.4264,14.5233,4900
2007-11-05,14.4108,14.4264,14.3014,14.3389,11800
2007-11-06,14.3420,14.4108,14.3326,14.3420,11300
2007-11-07,14.9328,14.9328,13.9700,13.9700,29400
2007-11-08,14.0701,14.0701,13.7450,13.8825,21300
2007-11-09,13.7731,13.8200,13.6012,13.7731,21000
2007-11-12,13.7449,13.7449,13.4792,13.4792,15600
2007-11-13,13.6355,13.7793,13.6011,13.7606,15100
2007-11-14,13.9138,13.9450,13.8512,13.8512,11900
2007-11-15,13.5042,13.8262,13.5042,13.6012,21400
2007-11-16,13.6918,13.6918,13.4605,13.5042,41100
2007-11-19,13.5543,13.5543,13.1979,13.2385,28700
2007-11-20,13.1885,13.2166,13.0228,13.0510,21300
2007-11-21,12.9697,13.0354,12.9134,13.0041,16100
2007-11-23,13.1010,13.2354,13.0479,13.1823,7400
2007-11-26,13.2823,13.3417,12.9978,12.9978,7900
2007-11-27,12.9978,13.0854,12.9697,13.0666,18100
2007-11-28,13.2542,13.3980,13.2042,13.2292,5900
2007-11-29,13.2354,13.4417,13.2354,13.4417,9600
2007-11-30,13.5761,13.6793,13.5417,13.6793,71700
2007-12-03,13.7258,13.7258,13.6285,13.6693,8400
2007-12-04,13.6442,13.6442,13.5312,13.5531,14900
2007-12-05,13.6285,13.6755,13.5312,13.6661,22200
2007-12-06,13.7728,13.8701,13.7728,13.8262,9000
2007-12-07,13.9266,14.0145,13.9204,13.9360,38900
2007-12-10,13.9204,14.0898,13.8419,13.8419,10500
2007-12-11,13.9266,13.9957,13.4056,13.8074,43600
2007-12-12,13.6598,14.1024,13.5720,13.7414,32700
2007-12-13,13.7320,13.7320,13.5437,13.5563,12200
2007-12-14,13.4464,13.5657,13.4464,13.5343,8400
2007-12-17,13.4213,13.4307,13.0572,13.0572,14800
2007-12-18,13.2455,13.5406,13.0760,13.1168,52500
2007-12-19,13.1325,13.1608,12.9944,13.0384,14900
2007-12-20,12.9756,13.0541,12.9473,12.9819,15400
2007-12-21,12.9536,13.3114,12.6680,13.1011,11100
2007-12-24,13.1168,13.1922,13.1168,13.1922,11800
2007-12-26,13.1765,13.2612,13.1639,13.1890,39600
2007-12-27,13.2465,13.2465,13.0452,13.1379,189400
2007-12-28,12.8024,14.3776,12.8024,14.3776,68900
2007-12-31,14.7929,14.7929,12.7258,13.2593,54700
2008-01-02,13.7226,13.7226,13.2274,13.6427,11100
2008-01-03,13.5022,14.3712,13.5022,13.7546,150500
2008-01-04,13.6363,13.8887,13.5533,13.6427,116100
2008-01-07,13.7098,13.7098,13.5724,13.6683,73700
2008-01-08,13.7961,13.9782,13.6587,13.6587,83600
2008-01-09,13.6587,13.6779,13.5788,13.6779,60400
2008-01-10,13.6363,14.0453,13.6236,14.0197,69600
2008-01-11,14.1571,14.1571,14.0389,14.1156,69900
2008-01-14,14.1987,14.2242,14.1284,14.2178,62600
2008-01-15,14.1699,14.2817,14.0581,14.2019,66400
2008-01-16,14.1667,14.2434,14.1220,14.1731,67800
2008-01-17,14.2210,14.2210,13.8792,13.9111,83100
2008-01-18,13.9111,14.0389,13.8919,13.9654,56200
2008-01-22,13.7450,13.9526,13.6236,13.9367,80800
2008-01-23,13.9175,14.0485,13.8184,14.0421,120900
2008-01-24,14.1092,14.2498,14.0229,14.1859,138200
2008-01-25,14.2466,14.6044,14.2114,14.3009,81700
2008-01-28,14.5182,14.5182,14.2817,14.3137,95700
2008-01-29,14.3712,14.5437,14.3233,14.4606,130200
2008-01-30,14.4479,14.6971,14.4159,14.4990,78100
2008-01-31,14.4798,14.6587,14.4383,14.5501,130600
2008-02-01,14.6242,14.6979,14.6146,14.6883,82300
2008-02-04,15.0891,15.0891,14.5953,14.5953,105200
2008-02-05,14.4542,14.5761,14.4542,14.5633,87100
2008-02-06,14.5408,14.5729,14.5023,14.5055,97000
2008-02-07,14.6274,14.6274,14.4606,14.5216,66400
2008-02-08,14.5280,14.6851,14.4895,14.5216,44000
2008-02-11,14.5504,14.5889,14.5055,14.5087,77100
2008-02-12,14.9512,14.9512,14.4478,14.5472,98500
2008-02-13,14.6178,14.6755,14.4703,14.5504,39600
2008-02-14,14.9609,14.9609,14.4446,14.5152,74800
2008-02-15,14.9897,14.9897,14.4446,14.5184,61400
2008-02-19,15.1244,15.1372,14.5248,14.5921,39500
